"cell","window","pct.rank","Rank"
"25736","hum_12_1",0.772898511884379,0.00202304893173277
"25738","hum_12_1",0.637994818860588,0.00107291794847697
"25739","hum_12_1",0.601372601567293,0.000905928143765777
"26067","hum_12_1",0.798622469880536,0.00232723192311823
"26068","hum_12_1",0.664861584714076,0.00121000001672655
"26069","hum_12_1",0.598233730390418,0.000892822339665145
"26070","hum_12_1",0.640141819066949,0.00108259881380945
"26071","hum_12_1",0.651123247669069,0.00113884196616709
"26399","hum_12_1",0.573329144065556,0.000791778205893934
"26400","hum_12_1",0.650627312183812,0.00113661459181458
"26401","hum_12_1",0.617033073660749,0.000973586924374104
"26402","hum_12_1",0.658167995835421,0.00117516494356096
"26731","hum_12_1",0.624342731465189,0.0010071030119434
"26732","hum_12_1",0.754428765489342,0.0018428290495649
"26733","hum_12_1",0.611867335718042,0.000951311783865094
"26734","hum_12_1",0.57131151833361,0.000784056261181831
"27063","hum_12_1",0.690382239964723,0.00135818577837199
"27064","hum_12_1",0.637803837493595,0.00107199675403535
